text,label
CHAPTER XXV THE LAST STROKE As solicitor turned toward newcomer woman exchanged glances still confident say defiant looked unobservant solicitor nervous apprehensive glance leaning toward would whispered word anxiety shook head next moment solicitor naming Mr Myers paused lady continued utmost directness Mr Myers lady denies existence American heirs,A
The pretty widow Mr Ferrars pardon cousin spoke Ruth cast keen side glance friends And speaks As As cousin believes And think mutually interested I must really see pretty neighbour Miss Glidden party week Glenville Mr FerrissGrant arrived spent days village making home doctors cottage passing time Hilda friends,A
One naturally would place Yes I suppose went reassured Well I hadnt two minutes boy came running walk breath says sort panting words Maam lady lives next enginehouse corner stopped asked back beg quick Her little boys got burned awful,A
In short could throw light upon mystery brothers death Rather story made death seem mysterious first possibilities rendered least probable But evidence effect upon somewhat bucolic jury That Charles Brierly shot another hand clearly demonstrated brother would doubt whatever left upon point little knew much judicious whispers hints uttered right places apparent intent confidence secrecy shaping verdict follows We jury find deceased Charles Brierly died bullet wound fired according belief mistake accident hands person unknown,A
Well hear Miss Grant say Miss Grant group gate told tell ending testimony boy Peter suggestion concerning targetshooting Sho broke express personal opinion fears thats top bottom hull business Brierlys regularly took ashootin mark Ive two three evenins late,A
And Ferrars turned subject explain doctor present plans How determined continue masquerade remain time Glenville though Mrs Jamiesons uttered doctor found wondering Hilda Grant detective found place attractive personal well business reasons detectives heart must needs adamant Next morning Samuel Doran knew detective Hilda Grants cousin right good fellow drove ostentatiously Mr Grant drive,A
Not essential ones I must bear I must Go doctor I quite agree It looks like murder mustI must know truthmust find deed Doctor advise About How begin time lost That means good detective soon possible Do chance know gentry INo indeed,A
It front main cottage back inner office body lay outer office wing built rear room opening conveniently outward view front entrance close little side gate A porch fitted snugly angle made former sittingroom outer office rooms could entered convenient porch Robert Brierly occupied room opposite assigned detective width hall doctor although Ferrars know camped outer office,A
For since Brierleys return accompanied friend two occupied together rooms Mrs Frys doctors cottage still headquarters Ferrars solitary possession guest chamber formerly assigned Brierly Mr Myers shrewd lawyer well faithful family friend He felt first mystery well crime behind death Charles Brierly near dear dear two families almost ever since John Myers elder Brierly school friends fellow students finally entered together career matrimony,A
Fivetenfifteen minutes passed two heads bent still book slate Twenty minutes Johnnys head appeared half dozen others behind Has Johnny Nom shant I go see But Miss Grant arose stopping gesture He would laugh us Johnny Then another look anxious faces wait nine oclock least Johnny followers went sullenly back porch Metas lip began quiver,A
I sure said neared corner block farthest home There He looking ahead cab coming slow trot toward around corner still nearer policeman appeared As two approached officer looking toward approaching cab turned toward Brierly passing glare street lamp stopped short,A
And inmates neighbouring houses rushed moment confusion consternation clamour Is dead How happen Was sandbag To think holdup street There carriage Im sure And policeman flashing lantern among bade stand back rescuer looked like workman Sunday clothes looked place knelt supporting head shoulders unconscious said Gentlemen Mr Brierly Robert Brierly  C Avenue Myers house two blocks away,A
Meantime I consider got hands upon strong clues find way develop aright Dont ask anything gentlemen I time study mornings discoveries Mr Brierly time breakfasted At moment came quick tap Mrs Frys voice heard without At signal Ferrars Doctor Barnes opened Gentlemen began little woman eager explanation I dont interrupt,A
Mrs Jamieson made better progress fair stately neighbour might seen strolling toward schoolhouse together driving along terrace roadfor Mrs Jamieson declared tragedy lake shore spoiled lakeside road herin Dorans pony carriage sometimes Miss Grants cousin charioteer One evening little party sauntered away pretty together walk Hildas home hour upon Mrs Marcys broad shaded piazza Mrs Jamieson declared charmingly secluded chatter movement coming going upon Glenville House,A
That best I shall lose time I strong reason wishing see precise place ghost appeared The sight surrey filled poor foolish Peter delight rode high glee sitting Hilda Ferrars learned know like trust When abreast hill Hilda bent Now Peter tell saw ghost Instantly boys blanched cowered seat Ferrars gentle firmness interfered,A
