text,label
kate whitney startled kate idea came know came straight always way folk grief came wife like birds lighthouse sweet must wine water comfortably tell us rather sent james bed oh doctor advice,A
hollow hand sherlock holmes sat whistle jove peterson said treasure trove indeed suppose know got diamond sir precious stone cuts glass though putty precious stone _the_ precious stone countess morcar blue carbuncle ejaculated precisely ought know size shape seeing read advertisement _the times_ every day lately absolutely unique value,A
quite bulky remained might shown grip much feeble spoke picked steel poker sudden effort straightened fancy insolence confound official detective force incident gives zest investigation however trust little friend suffer imprudence allowing brute trace watson shall order breakfast afterwards shall walk doctors commons,A
late sherlock holmes returned came back alone lestrade staying lodgings town glass still keeps high remarked sat importance rain able go ground hand best keenest nice work wish fagged long journey seen young mccarthy learn nothing could throw,A
day hour likely crony landlady sherlock holmes wrong conjecture however came step passage tapping stretched long arm turn lamp away towards vacant chair upon newcomer must said entered young two twenty outside well groomed trimly clad something refinement delicacy,A
lost fifty guinea fee gained experience said holmes laughing indirectly may value know put words gain reputation excellent company remainder existence x adventure noble bachelor lord st simon marriage curious termination long ceased subject interest exalted circles unfortunate bridegroom moves fresh scandals eclipsed piquant details drawn gossips away four,A
cushion half opened lids glanced across visitor pray precise details said easy every event dreadful time seared memory manor house already said old wing inhabited bedrooms wing ground floor sitting rooms central block buildings bedrooms first dr roylott second sister third,A
must account lose another instant spare time even discuss told must get home instantly act shall thing must done must put piece paper shown us brass box described must put note say papers burned uncle remains must assert words,A
three away ship last night stevedore loading cargo time sailing ship reaches savannah mail boat carried letter cable informed police savannah three gentlemen badly wanted upon charge murder ever flaw however best laid human plans murderers john openshaw never receive orange pips would show another cunning resolute,A
grass within paces body circumstances young instantly arrested verdict wilful murder returned inquest tuesday wednesday brought magistrates ross referred case next assizes main facts case came coroner police court could hardly imagine damning case remarked ever circumstantial evidence pointed criminal circumstantial evidence tricky thing answered holmes,A
holmes make mistake explaining _omne ignotum pro magnifico_ know poor little reputation suffer shipwreck candid find advertisement mr wilson yes got answered thick red finger planted halfway column began read sir took paper read follows red headed league account bequest late ezekiah hopkins lebanon,A
agricultural prices  daughter claim income  case marriage evident therefore girls married beauty would mere pittance even would cripple serious extent morning work wasted since proved strongest motives standing way anything sort watson serious dawdling especially old aware interesting,A
endeavoured tie handkerchief round came sudden buzzing ears next moment fell dead faint among rose bushes long remained unconscious tell must long time moon sunk bright morning breaking came clothes sodden dew coat sleeve drenched blood wounded thumb smarting recalled instant particulars night adventure sprang,A
understand way seem pressing need repairs wall none believe excuse move room ah suggestive side narrow wing runs corridor three rooms open windows course yes small ones narrow anyone pass locked doors night rooms unapproachable side would kindness,A
