text,label
it is Kate Whitney How you startled me Kate I had not an idea who you were when you came in I didn t know what to do so I came straight to you That was always the way Folk who were in grief came to my wife like birds to a lighthouse It was very sweet of you to come Now you must have some wine and water and sit here comfortably and tell us all about it Or should you rather that I sent James off to bed Oh no no I want the doctor s advice and,A
hollow of his hand Sherlock Holmes sat up with a whistle By Jove Peterson said he this is treasure trove indeed I suppose you know what you have got A diamond sir A precious stone It cuts into glass as though it were putty It s more than a precious stone It is _the_ precious stone Not the Countess of Morcar s blue carbuncle I ejaculated Precisely so I ought to know its size and shape seeing that I have read the advertisement about it in _The Times_ every day lately It is absolutely unique and its value can only,A
quite so bulky but if he had remained I might have shown him that my grip was not much more feeble than his own As he spoke he picked up the steel poker and with a sudden effort straightened it out again Fancy his having the insolence to confound me with the official detective force This incident gives zest to our investigation however and I only trust that our little friend will not suffer from her imprudence in allowing this brute to trace her And now Watson we shall order breakfast and afterwards I shall walk down to Doctors Commons,A
was late before Sherlock Holmes returned He came back alone for Lestrade was staying in lodgings in the town The glass still keeps very high he remarked as he sat down It is of importance that it should not rain before we are able to go over the ground On the other hand a man should be at his very best and keenest for such nice work as that and I did not wish to do it when fagged by a long journey I have seen young McCarthy And what did you learn from him Nothing Could he throw no,A
a day and at such an hour But I take it that it is more likely to be some crony of the landlady s Sherlock Holmes was wrong in his conjecture however for there came a step in the passage and a tapping at the door He stretched out his long arm to turn the lamp away from himself and towards the vacant chair upon which a newcomer must sit Come in said he The man who entered was young some two and twenty at the outside well groomed and trimly clad with something of refinement and delicacy in his,A
and I have lost a fifty guinea fee and what have I gained Experience said Holmes laughing Indirectly it may be of value you know you have only to put it into words to gain the reputation of being excellent company for the remainder of your existence X THE ADVENTURE OF THE NOBLE BACHELOR The Lord St Simon marriage and its curious termination have long ceased to be a subject of interest in those exalted circles in which the unfortunate bridegroom moves Fresh scandals have eclipsed it and their more piquant details have drawn the gossips away from this four,A
cushion but he half opened his lids now and glanced across at his visitor Pray be precise as to details said he It is easy for me to be so for every event of that dreadful time is seared into my memory The manor house is as I have already said very old and only one wing is now inhabited The bedrooms in this wing are on the ground floor the sitting rooms being in the central block of the buildings Of these bedrooms the first is Dr Roylott s the second my sister s and the third my own,A
you must on no account lose another instant We cannot spare time even to discuss what you have told me You must get home instantly and act What shall I do There is but one thing to do It must be done at once You must put this piece of paper which you have shown us into the brass box which you have described You must also put in a note to say that all the other papers were burned by your uncle and that this is the only one which remains You must assert that in such words as,A
that they were all three away from the ship last night I had it from the stevedore who has been loading their cargo By the time that their sailing ship reaches Savannah the mail boat will have carried this letter and the cable will have informed the police of Savannah that these three gentlemen are badly wanted here upon a charge of murder There is ever a flaw however in the best laid of human plans and the murderers of John Openshaw were never to receive the orange pips which would show them that another as cunning and as resolute,A
grass within a few paces of the body Under these circumstances the young man was instantly arrested and a verdict of wilful murder having been returned at the inquest on Tuesday he was on Wednesday brought before the magistrates at Ross who have referred the case to the next Assizes Those are the main facts of the case as they came out before the coroner and the police court I could hardly imagine a more damning case I remarked If ever circumstantial evidence pointed to a criminal it does so here Circumstantial evidence is a very tricky thing answered Holmes,A
Holmes that I make a mistake in explaining _Omne ignotum pro magnifico_ you know and my poor little reputation such as it is will suffer shipwreck if I am so candid Can you not find the advertisement Mr Wilson Yes I have got it now he answered with his thick red finger planted halfway down the column Here it is This is what began it all You just read it for yourself sir I took the paper from him and read as follows TO THE RED HEADED LEAGUE On account of the bequest of the late Ezekiah Hopkins of Lebanon,A
